step,Grad Norm,loss,F KLDiv,NLL,NLL_val
356,839425.25,11426667.0,1034362.4375,10392305.0,10463744.160276854
357,752094.3125,11442509.0,1045269.1875,10397240.0,10463744.160276854
358,665112.9375,11383731.0,1043327.1875,10340404.0,10463744.160276854
359,711942.0,11395768.0,1049892.0,10345876.0,10463744.160276854
360,690082.375,11431103.0,1042317.5625,10388785.0,10343410.666850558
361,693518.25,11402912.0,1043788.0625,10359124.0,10343410.666850558
362,719864.75,11399374.0,1041714.1875,10357660.0,10343410.666850558
363,688646.8125,11403901.0,1050160.75,10353740.0,10343410.666850558
364,1893026.125,11383863.0,1049228.0,10334635.0,10343410.666850558
365,683464.9375,11393190.0,1037759.625,10355430.0,10343410.666850558
366,648974.3125,11395737.0,1048001.375,10347736.0,10343410.666850558
367,626606.4375,11337544.0,1033414.4375,10304130.0,10343410.666850558
368,601781.75,11326483.0,1036803.0,10289680.0,10343410.666850558
369,980185.0,11366305.0,1060649.75,10305655.0,10343410.666850558
370,646913.125,11358869.0,1043490.9375,10315378.0,10327747.683326533
371,577053.0,11324164.0,1041083.25,10283081.0,10327747.683326533
372,597998.375,11348926.0,1037506.8125,10311419.0,10327747.683326533
373,571789.625,11337254.0,1040266.25,10296988.0,10327747.683326533
374,613096.1875,11359287.0,1041149.1875,10318138.0,10327747.683326533
375,603416.4375,11350530.0,1038349.75,10312180.0,10327747.683326533
376,584788.625,11309746.0,1030155.625,10279590.0,10327747.683326533
377,546269.8125,11300219.0,1046709.6875,10253509.0,10327747.683326533
378,590941.5625,11338091.0,1037862.625,10300228.0,10327747.683326533
379,565463.0,11301537.0,1039926.75,10261610.0,10327747.683326533
380,547631.75,11293926.0,1029439.9375,10264486.0,10259871.002929887
381,529839.75,11272190.0,1031441.75,10240748.0,10259871.002929887
382,541562.1875,11287998.0,1026002.0625,10261996.0,10259871.002929887
383,1129047.0,11295187.0,1020222.625,10274964.0,10259871.002929887
384,547639.25,11296410.0,1029701.0,10266709.0,10259871.002929887
385,539202.375,11285580.0,1025671.125,10259909.0,10259871.002929887
386,513593.25,11268398.0,1042031.25,10226367.0,10259871.002929887
387,537084.1875,11290882.0,1023064.5,10267817.0,10259871.002929887
388,502857.59375,11225655.0,1027638.125,10198017.0,10259871.002929887
389,821427.5,11249260.0,1030452.5,10218807.0,10259871.002929887
390,510209.9375,11244682.0,1025483.875,10219198.0,10238898.857773008
391,498858.125,11223934.0,1011333.1875,10212601.0,10238898.857773008
392,528586.9375,11225568.0,1005257.1875,10220311.0,10238898.857773008
393,1753882.375,11246132.0,1020209.8125,10225922.0,10238898.857773008
394,490728.78125,11242233.0,1039666.125,10202567.0,10238898.857773008
395,522810.71875,11258486.0,1002011.9375,10256474.0,10238898.857773008
396,471469.28125,11203168.0,1015487.5,10187680.0,10238898.857773008
397,473293.28125,11211974.0,1032556.5625,10179417.0,10238898.857773008
398,482797.9375,11212255.0,1012024.125,10200231.0,10238898.857773008
399,466179.4375,11188298.0,1019576.0,10168722.0,10238898.857773008
400,481874.65625,11216453.0,1016690.9375,10199762.0,10258557.500359282
401,443091.09375,11193252.0,1023963.875,10169288.0,10258557.500359282
402,459647.9375,11211943.0,1024485.125,10187458.0,10258557.500359282
403,482598.25,11204131.0,1025551.4375,10178580.0,10258557.500359282
404,477004.375,11169588.0,1001656.125,10167932.0,10258557.500359282
405,485191.125,11204004.0,1023909.9375,10180094.0,10258557.500359282
406,433121.5,11166950.0,1009200.0625,10157750.0,10258557.500359282
407,1844073.375,11152547.0,1010091.5625,10142455.0,10258557.500359282
